S1 : 0 -> 97 : FROM START TO END
S2 : 42 -> 80 : FROM S1 TO S1
S3 : 53 -> 55 : FROM S2 TO S2
S4 : 67 -> 96 : FROM S2 TO S1
S5 : 22 -> 26 : FROM S1 TO S1
S6 : 63 -> 91 : FROM S2 TO S4
S7 : 31 -> 56 : FROM S1 TO S1
S8 : 52 -> 83 : FROM S7 TO S4
S9 : 16 -> 36 : FROM S1 TO S1
S10 : 35 -> 42 : FROM S1 TO S1
S11 : 36 -> 78 : FROM S1 TO S2
S12 : 65 -> 91 : FROM S11 TO S1
S13 : 73 -> 80 : FROM S11 TO S8
S14 : 37 -> 57 : FROM S7 TO S2
S15 : 27 -> 66 : FROM S1 TO S1
S16 : 45 -> 81 : FROM S15 TO S6
S17 : 76 -> 83 : FROM S11 TO S4
S18 : 70 -> 75 : FROM S6 TO S2
S19 : 68 -> 88 : FROM S6 TO S12
S20 : 3 -> 68 : FROM S1 TO S2
S21 : 86 -> 89 : FROM S12 TO S12
S22 : 41 -> 51 : FROM S14 TO S14
S23 : 83 -> 92 : FROM S6 TO S1
S24 : 39 -> 71 : FROM S14 TO S8
S25 : 3 -> 15 : FROM S1 TO S1
S26 : 37 -> 58 : FROM S10 TO S2
S27 : 68 -> 82 : FROM S6 TO S8
S28 : 41 -> 68 : FROM S14 TO S11
S29 : 80 -> 90 : FROM S17 TO S23
S30 : 25 -> 71 : FROM S1 TO S11
S31 : 49 -> 90 : FROM S28 TO S12
S32 : 37 -> 47 : FROM S10 TO S22
S33 : 45 -> 47 : FROM S11 TO S15
S34 : 4 -> 39 : FROM S25 TO S26
S35 : 33 -> 76 : FROM S1 TO S31
S36 : 57 -> 85 : FROM S8 TO S1
S37 : 15 -> 22 : FROM S20 TO S20
S38 : 44 -> 74 : FROM S22 TO S6
S39 : 18 -> 93 : FROM S37 TO S4
S40 : 15 -> 75 : FROM S1 TO S19
S41 : 46 -> 81 : FROM S33 TO S29
S42 : 74 -> 79 : FROM S18 TO S1
S43 : 80 -> 90 : FROM S19 TO S12
S44 : 69 -> 91 : FROM S2 TO S39
S45 : 5 -> 67 : FROM S1 TO S40
S46 : 43 -> 69 : FROM S20 TO S40
S47 : 82 -> 96 : FROM S29 TO S1
S48 : 74 -> 94 : FROM S4 TO S47
S49 : 67 -> 74 : FROM S16 TO S6
S50 : 8 -> 56 : FROM S1 TO S31
S51 : 58 -> 64 : FROM S28 TO S2
