(-395, -51)
(381, 109)
(303, 216)
(-265, 52)
(-117, 364)
(-246, -2)
(157, 379)
(-157, 225)
(-256, 56)
(115, 155)
(-345, 252)
(75, 318)
(-151, 289)
(162, 109)
(-180, 303)
(375, -382)
(224, 91)
(-297, -167)
(141, 318)
(138, -249)
(150, 110)
(-95, 9)
(207, 338)
(-333, -366)
(-71, 90)
(68, 131)
(-343, -117)
(338, -279)
(-231, -289)
(-71, -223)
(10, -356)
(-279, -331)
(-377, 83)
(-340, -365)
(95, 317)
(-184, 354)
(-41, -360)
(-317, -239)
(-262, -167)
(-394, -126)
(-294, -214)
(-86, -151)
(161, 164)
(-114, 223)
(332, 355)
(-314, 30)
(341, -143)
(229, -257)
(195, 289)
(-2, -248)
(338, -367)
(29, 339)
(357, -341)
(-127, -40)
(269, -108)
(56, -318)
(-155, 376)
(166, -24)
(73, -74)
(202, -7)
